hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,name,email,phone-number,credit_card,reservation_status_date
Resort Hotel,0,162,2017,August,35,30,1,1,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,Refundable,9.0,221.0,0,Transient-Party,79.43,0,0,Check-Out,Monica Herrera,montoyabrenda@example.net,506-792-6005x4286,346783454604160,2025-01-25
City Hotel,1,301,2017,April,14,5,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,179.0,0,Transient,115.1,0,1,Canceled,Jamie Arnold,richard88@example.net,540.488.5174x4441,3522226089494565,2025-08-17
Resort Hotel,0,51,2017,January,3,16,2,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,249.0,179.0,0,Transient,102.0,1,0,Check-Out,Lisa Hensley,cwebster@example.net,882-335-5263x73380,213135758529108,2024-08-07
Resort Hotel,0,15,2017,August,34,25,0,1,1,0.0,0,BB,NLD,Corporate,Corporate,0,0,0,A,A,0,No Deposit,33.0,221.0,0,Transient-Party,41.7,0,1,Check-Out,Michele Williams,emily73@example.com,879.598.9043x8100,5457801028429502,2025-05-18
City Hotel,0,19,2017,March,12,22,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,K,0,No Deposit,8.0,179.0,0,Transient-Party,4.69,0,2,Check-Out,Dylan Miller,edowns@example.net,605-295-0761,30132837428544,2024-09-28
Resort Hotel,1,20,2017,August,35,28,0,3,3,2.0,0,Undefined,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,168.0,179.0,0,Transient,44.4,0,0,Canceled,Brian Ramirez,maria36@example.com,+1-448-368-7169x07338,3500062081581091,2026-02-02
Resort Hotel,0,117,2017,June,25,19,2,5,2,2.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,179.0,0,Transient,61.97,0,1,Check-Out,Holly Wood,nicole02@example.com,4923009114,30096930008380,2025-12-14
City Hotel,0,221,2017,July,31,29,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11.0,179.0,0,Transient,163.39,1,0,Check-Out,Derek Zuniga,edwardfoster@example.com,+1-568-850-9894x79398,4190910444893202,2024-09-27
City Hotel,1,9,2017,August,33,18,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,179.0,0,Transient,89.52,0,2,Canceled,Lisa Jackson,wdyer@example.com,469-406-1096x033,4962300383147677,2025-03-13
City Hotel,1,158,2017,April,15,9,2,4,2,0.0,0,SC,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,179.0,0,Transient,217.81,0,3,Canceled,Carla Gray,zstokes@example.com,+1-238-722-3537x55727,213130378624637,2024-09-08
City Hotel,1,247,2017,April,14,8,2,4,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,179.0,0,Transient,208.97,0,0,Canceled,Margaret Hawkins DDS,april66@example.net,+1-825-701-8872x069,4729405554704378550,2025-06-27
Resort Hotel,1,206,2017,April,16,13,2,5,2,2.0,0,HB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,246.0,179.0,0,Transient,252.0,0,3,Canceled,Patty Perez,lori47@example.net,001-577-967-7887x13084,213171683075495,2025-08-04
City Hotel,1,151,2017,September,37,12,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,Non Refund,136.0,179.0,0,Transient,63.34,0,0,Canceled,Ethan Adams,baileymeagan@example.net,(800)866-3295,4230660958333432,2026-01-25
City Hotel,0,158,2017,November,47,22,2,3,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,179.0,0,Transient,69.74,0,2,Check-Out,Tommy Walter,joshuaramos@example.com,(974)789-3670x619,4416322509287023,2025-11-23
City Hotel,0,10,2017,August,31,1,0,3,2,0.0,0,SC,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,179.0,0,Transient,139.31,1,1,Check-Out,Matthew Foster,deborah24@example.org,2033814043,30151366792328,2024-12-28
Resort Hotel,0,211,2017,January,2,3,2,5,2,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241.0,179.0,0,Transient,237.62,0,3,Check-Out,Judy Baker,john72@example.net,(731)650-0583x534,6011093166757673,2026-01-10
City Hotel,0,14,2017,August,34,23,2,1,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,179.0,0,Contract,99.49,0,3,Check-Out,Justin Baker,hansenjoshua@example.net,(655)561-4178,3527975983071094,2024-07-27
City Hotel,1,141,2017,January,5,31,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,22.0,179.0,0,Transient,96.09,0,0,Canceled,Stephanie Ross,oedwards@example.net,860.718.3257x981,4042915556672,2024-12-05
Resort Hotel,1,249,2017,April,14,3,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,243.0,179.0,0,Transient,207.87,0,0,Canceled,Zachary Hicks,marvin03@example.com,001-735-224-6936x042,6549884471555229,2024-12-15
Resort Hotel,0,0,2017,November,45,7,1,0,1,0.0,0,BB,NLD,Corporate,Corporate,0,0,0,A,A,0,No Deposit,17.0,221.0,0,Transient,36.48,0,0,Check-Out,Anthony Rodriguez,joshua07@example.net,601-593-9589x818,38477377053430,2024-09-13
Resort Hotel,1,144,2017,April,14,1,0,3,2,0.0,0,BB,SWE,Groups,Direct,0,0,0,D,E,0,Refundable,13.0,221.0,0,Transient-Party,76.0,0,0,Canceled,Rebecca Henderson,brooksamanda@example.org,001-724-345-7434x259,3544590725014929,2024-09-26
City Hotel,0,3,2017,February,8,19,2,3,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,11.0,179.0,0,Group,82.83,0,1,Check-Out,James Ferrell,sara93@example.org,(428)369-5293,6011671604822934,2024-10-18
Resort Hotel,0,0,2017,November,46,13,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,1,No Deposit,183.0,231.0,0,Transient-Party,45.26,0,0,Check-Out,Tricia Valencia,wrightcarolyn@example.com,2622868521,213160104198861,2026-03-12
Resort Hotel,0,4,2017,June,24,17,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,12.0,331.0,0,Transient,47.67,1,1,Check-Out,Nathan Maldonado,hortonjoshua@example.org,001-673-659-0132x570,4013174349414,2025-04-04
City Hotel,0,17,2017,July,27,3,0,2,2,0.0,0,BB,,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,179.0,0,Transient,139.9,0,1,Check-Out,Debra Davidson,nwalker@example.org,748-722-4302,3536412277760322,2025-03-11
Resort Hotel,0,3,2017,November,44,3,2,1,2,0.0,0,HB,PRT,Direct,Direct,1,0,0,A,D,1,No Deposit,12.0,179.0,0,Transient,48.26,1,1,Check-Out,Jeffrey Chavez,christopher06@example.org,288.755.7393x97426,3568624555616189,2024-11-26
City Hotel,1,1,2017,September,39,27,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,179.0,0,Transient,105.78,0,1,Canceled,Sherri Baker,lisamccarthy@example.org,(502)762-5991x435,4478122624426,2026-01-23
Resort Hotel,1,44,2017,August,34,23,1,1,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,2.0,179.0,0,Transient-Party,88.63,0,0,Canceled,Cassandra Gaines,dale26@example.com,+1-956-591-7207x036,346038081675715,2025-03-05
Resort Hotel,0,47,2017,April,15,9,2,4,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,239.0,179.0,0,Transient,233.29,0,2,Check-Out,Elizabeth Fowler,mollyhayes@example.net,336.330.1527x7374,6536140604455687,2025-11-01
Resort Hotel,0,17,2017,May,19,9,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,238.0,179.0,0,Transient,57.69,0,2,Check-Out,Brittany Farmer,sharris@example.com,+1-444-387-8905,213196616326095,2024-12-02
Resort Hotel,0,1,2017,November,45,11,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,15.0,179.0,0,Transient,53.44,0,1,Check-Out,Paula Moreno,bcampbell@example.com,+1-744-909-0025,580238084165,2024-09-14
City Hotel,1,145,2017,December,52,23,2,4,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,179.0,0,Transient,111.32,0,1,Canceled,Fred Smith,vshields@example.org,725.673.1302x20373,4748182483869058,2024-10-25
Resort Hotel,1,264,2017,January,2,7,2,10,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,275.0,179.0,0,Transient,141.53,0,0,Canceled,Sherry Decker,jefferyvincent@example.org,9537340164,213169884118478,2025-04-22
City Hotel,0,22,2017,May,20,17,0,1,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,10.0,179.0,0,Transient-Party,108.69,0,1,Check-Out,Anthony Humphrey,ygonzalez@example.net,+1-706-309-3371x98658,4580869686896,2025-02-16
Resort Hotel,0,0,2017,October,42,20,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,15.0,179.0,0,Transient,32.89,1,0,Check-Out,Angelica Tucker,vbaker@example.net,5214465481,2238067541887542,2025-03-07
City Hotel,0,81,2017,June,23,9,0,3,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,62.0,179.0,0,Contract,118.31,0,0,Check-Out,Philip Cannon,kimberlyerickson@example.net,(306)915-2501,4680423973815965,2024-06-15
Resort Hotel,1,273,2017,March,10,4,4,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,0,Non Refund,242.0,179.0,0,Transient,54.74,0,1,Canceled,John Pierce,lisa10@example.org,498.779.5047x0062,30204692011085,2024-08-06
City Hotel,1,114,2017,December,48,2,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,76.0,179.0,0,Transient,104.35,0,0,Canceled,Shane Henderson,whitetracy@example.org,2174759174,3517904892526636,2025-06-04
Resort Hotel,0,33,2017,June,23,8,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,77.0,179.0,0,Contract,44.12,0,2,Check-Out,Joshua Blair,hbrock@example.net,993.260.4470,4545571602920740,2025-06-23
Resort Hotel,0,18,2017,September,39,24,1,2,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,179.0,0,Transient,115.37,1,1,Check-Out,Eric Carney,danny48@example.com,(360)357-9652x73983,343084584827497,2025-02-03
Resort Hotel,0,382,2017,January,2,11,2,0,1,0.0,0,HB,AUT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,309.0,179.0,0,Transient-Party,92.81,0,1,Check-Out,Jessica Holmes,oalvarez@example.com,(959)282-2189,4306832968012658786,2025-02-27
City Hotel,0,150,2017,December,51,23,2,2,2,0.0,0,BB,,Direct,TA/TO,0,0,0,D,D,0,No Deposit,11.0,179.0,0,Transient,129.66,0,3,Check-Out,Danny Morgan,aprilforbes@example.org,862-344-4516,4209521476211,2024-12-09
Resort Hotel,0,0,2017,May,19,9,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,H,E,1,No Deposit,248.0,179.0,0,Transient,50.54,0,1,Check-Out,Crystal Robinson,qmiller@example.org,970.734.0849,6011632822330175,2025-12-10
Resort Hotel,1,134,2017,July,28,10,1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,179.0,0,Transient,110.1,0,0,Canceled,Mark Perez,sergio54@example.net,515.302.7439,4274927023420219114,2026-01-20
City Hotel,0,106,2017,November,46,14,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,22.0,179.0,65,Transient-Party,110.86,0,0,Check-Out,Shannon Jones,nrice@example.com,001-216-854-5948,3534295832351527,2025-09-15
City Hotel,1,313,2017,June,26,29,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,179.0,66,Transient,104.04,0,0,Canceled,Michael Lewis,bautistarhonda@example.net,(809)252-7958,376154092656793,2025-09-02
Resort Hotel,0,149,2017,March,12,22,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,179.0,0,Transient,119.69,0,0,Check-Out,Timothy Duncan,robertlopez@example.com,425.409.3330x206,342897222929990,2024-12-01
City Hotel,0,2,2017,July,28,12,2,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,12.0,206.0,0,Transient,87.22,0,0,Check-Out,Richard Aguirre,barbermichelle@example.com,5536845281,4329806516525041,2025-04-28
City Hotel,0,45,2017,October,42,17,0,4,2,0.0,0,SC,,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,8.0,179.0,0,Transient-Party,41.75,0,0,Check-Out,Brent Jordan,ryan70@example.com,001-878-857-5232,343924871521362,2026-03-10
City Hotel,0,151,2017,October,43,27,2,3,3,0.0,0,BB,IRL,Online TA,Corporate,0,0,0,E,E,0,No Deposit,13.0,179.0,0,Transient-Party,242.2,0,2,Check-Out,John Daniel,fieldsrobin@example.net,403-282-1186,3531494012367253,2026-02-03
Resort Hotel,0,96,2017,January,4,25,1,1,2,2.0,0,BB,FRA,Online TA,Direct,0,0,0,G,G,0,No Deposit,247.0,179.0,75,Transient,89.97,1,0,Check-Out,Victoria Garcia,pughcarol@example.org,001-650-425-5130x99962,4618452453724222814,2025-09-28
Resort Hotel,0,11,2017,August,32,5,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,239.0,179.0,0,Transient,85.97,1,1,Check-Out,Gerald Hensley,nnielsen@example.net,+1-364-797-7070x34562,2278712330675654,2024-05-02
City Hotel,0,22,2017,December,2,31,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,179.0,0,Transient,104.06,0,1,Check-Out,Connor West,andersontravis@example.com,(952)774-2169x195,30364927718951,2026-02-01
Resort Hotel,0,0,2017,October,43,24,2,5,2,0.0,0,BB,ISR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,179.0,0,Transient,43.95,1,1,Check-Out,Donald Wright,carmen98@example.com,001-241-890-4549,3584746443371261,2024-09-06
Resort Hotel,0,115,2017,March,11,13,1,3,3,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,2,No Deposit,237.0,179.0,0,Transient,240.78,1,3,Check-Out,Jessica Callahan,gravestammy@example.org,847-382-9240x98866,6561912143779761,2025-05-06
City Hotel,0,28,2017,June,23,3,0,2,2,2.0,0,BB,CHE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,10.0,179.0,0,Transient,211.38,0,2,Check-Out,Amber Kidd,gjenkins@example.com,+1-318-270-0749x89006,6011876353710368,2025-08-19
City Hotel,0,12,2017,May,20,20,2,3,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,179.0,0,Transient-Party,62.28,0,0,Check-Out,Tracy House,cookheather@example.org,(703)415-5677,4438107047086779,2025-12-09
City Hotel,1,148,2017,April,15,12,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,179.0,0,Transient,221.13,0,0,Canceled,Carol Tucker,wriley@example.org,763-259-2444,4772904408861,2026-01-26
City Hotel,1,96,2017,June,25,20,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,81.0,179.0,0,Transient,103.44,0,0,Canceled,James Brown,xkirk@example.org,565.947.8891x559,4983982718668111398,2024-12-12
Resort Hotel,0,23,2017,November,47,19,4,7,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,244.0,179.0,0,Transient,252.0,0,1,Check-Out,William Baker,cardenasjoseph@example.com,451.242.5807x4221,2718841946492606,2025-03-20
City Hotel,1,38,2017,August,31,2,2,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,8.0,179.0,0,Transient,89.84,0,1,Canceled,Jordan Henderson,sheppardallison@example.net,001-437-336-0014x52323,4885996818922393435,2024-07-27
City Hotel,1,109,2017,February,9,26,2,4,2,2.0,0,BB,,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,10.0,179.0,0,Transient,81.89,0,1,Canceled,Whitney Peters,scott48@example.org,001-542-204-1793x95384,5349844232971333,2024-06-17
City Hotel,0,146,2017,November,47,20,2,2,2,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,12.0,179.0,0,Transient,82.29,0,1,Check-Out,Brittney Phillips,perezzachary@example.com,218.546.6090x3514,30264533730111,2024-04-11
City Hotel,0,68,2017,February,8,23,0,3,2,1.0,0,BB,IRL,Online TA,TA/TO,0,0,0,G,E,3,No Deposit,11.0,179.0,0,Transient,140.83,0,3,Check-Out,Lauren Daniels,vlewis@example.net,931.439.3605,3545347822661097,2024-07-23
City Hotel,1,90,2017,February,8,23,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,179.0,0,Transient,89.08,0,0,No-Show,Amy Silva,hannah04@example.com,001-807-731-1567x6238,4123898537609860,2025-10-02
City Hotel,0,27,2017,December,49,7,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,29.0,179.0,0,Transient-Party,84.02,0,0,Check-Out,Sarah Moore,timothypalmer@example.net,+1-226-530-1618,30409743112507,2025-04-21
City Hotel,0,7,2017,March,13,25,0,2,2,1.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,179.0,0,Transient,129.43,0,0,Check-Out,Angela Lopez,lopezmichelle@example.net,6382794263,4311347636514329440,2026-03-08
City Hotel,0,50,2017,May,19,9,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,179.0,0,Transient-Party,102.54,0,1,Check-Out,Megan Young,latoyahartman@example.com,001-454-375-5156x9832,3598318044454641,2025-06-06
City Hotel,0,0,2017,October,41,10,0,1,1,1.0,0,SC,SWE,Offline TA/TO,Direct,0,0,0,A,A,1,No Deposit,11.0,179.0,0,Transient,87.75,0,0,Check-Out,Steve Sanchez,jodimiller@example.com,001-281-328-0919x177,676143534466,2025-08-07
City Hotel,0,11,2017,July,28,10,0,3,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,179.0,0,Transient,73.56,1,0,Check-Out,Lisa Barnes,julie84@example.com,001-882-977-1795,3585294485450015,2024-12-13
Resort Hotel,1,25,2017,April,14,7,1,2,2,2.0,0,BB,PRT,Online TA,Direct,0,0,0,G,G,1,No Deposit,247.0,179.0,0,Transient,215.48,1,0,Canceled,Kelly Donovan,pamela88@example.net,358.776.6121x77444,30265588496227,2025-07-01
City Hotel,1,174,2017,January,3,19,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,9.0,179.0,0,Transient,119.16,0,0,Canceled,Mike Allen,wendy93@example.org,(557)443-7598x2481,501891012145,2024-10-17
City Hotel,0,3,2017,April,15,11,0,1,2,0.0,0,BB,PRT,Complementary,Direct,1,1,0,A,A,0,No Deposit,9.0,45.0,0,Transient,1.03,0,1,Check-Out,Michael Evans,wendybonilla@example.org,+1-618-601-2955,30421610447874,2025-03-07
City Hotel,0,65,2017,March,11,13,1,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,29.0,179.0,0,Transient,107.96,0,1,Check-Out,Paul Jones,xsims@example.com,373-252-6407x14913,3553810715259690,2024-11-05
City Hotel,0,19,2017,December,50,10,1,2,2,2.0,0,BB,CHE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,179.0,0,Transient,171.62,0,1,Check-Out,Zachary Ferrell,kirkmallory@example.org,665-527-4045x645,4571656918998,2025-04-04
Resort Hotel,0,18,2017,April,15,12,0,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,237.0,179.0,0,Transient,64.47,1,1,Check-Out,Daniel Baker,xharvey@example.org,329-403-8265,30530369214986,2024-07-25
City Hotel,1,159,2017,June,25,24,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,27.0,179.0,0,Transient,123.75,0,0,Canceled,Shirley Suarez,paulerik@example.net,001-794-372-9926x33700,3545285438729124,2024-08-25
City Hotel,0,155,2017,March,11,13,0,1,1,0.0,0,BB,,Online TA,TA/TO,0,0,0,A,I,0,No Deposit,11.0,179.0,0,Transient,132.65,0,1,Check-Out,Christopher Bass,nolancatherine@example.net,339-712-2276,4247935558406,2025-02-22
City Hotel,1,38,2017,November,46,15,0,3,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,179.0,0,Transient,85.11,0,1,Canceled,Lisa Archer,ojames@example.org,+1-442-451-1874,630492378645,2025-08-09
City Hotel,0,0,2017,July,28,10,1,2,3,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,K,0,No Deposit,10.0,331.0,0,Transient,3.27,0,0,Check-Out,Aimee Montoya,reneehoward@example.com,918.758.3132,2245679644622815,2024-07-13
City Hotel,1,87,2017,April,18,30,2,5,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,A,B,0,No Deposit,13.0,179.0,0,Transient,140.6,0,0,Canceled,Matthew Mcmillan,joseph03@example.org,603.540.9718x1485,340423404382122,2025-01-06
Resort Hotel,0,15,2017,June,22,2,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,245.0,179.0,0,Transient,85.19,0,0,Check-Out,Brian Rodriguez,lharper@example.org,(427)948-1873x1785,4522132041101296683,2025-08-26
Resort Hotel,0,16,2017,April,18,28,0,1,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,1,D,D,1,No Deposit,237.0,179.0,0,Transient,66.58,1,2,Check-Out,Denise Jacobs,joshua02@example.net,(742)884-6851x92617,4509178424875955,2025-12-09
City Hotel,0,57,2017,June,25,18,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,179.0,0,Contract,79.05,0,0,Check-Out,Christina Walters,kclark@example.org,+1-327-242-9003x916,560388470844,2025-01-05
Resort Hotel,1,155,2017,March,10,5,1,10,2,2.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,179.0,0,Transient,228.91,0,1,Canceled,John Whitehead,thomastheresa@example.net,(281)611-1704,6515668460655896,2025-03-31
City Hotel,0,158,2017,April,15,9,0,2,2,0.0,0,SC,,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,6.0,179.0,0,Transient,102.83,0,0,Canceled,Anna Henderson,jason85@example.org,001-978-273-7480x521,4026058440656302098,2025-08-11
City Hotel,0,164,2017,February,8,21,2,2,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,E,1,No Deposit,10.0,179.0,75,Transient,120.05,0,1,Check-Out,Aaron Wise,carterjames@example.net,(507)339-7016,4290098790330174,2024-12-16
City Hotel,0,20,2017,November,47,22,0,2,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,179.0,0,Transient,135.91,0,2,Check-Out,Deborah Figueroa,hollychang@example.net,(929)658-1077x19676,4752677949364084,2026-03-16
